SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE,CNT
2019,9,16,월,ARP2,ARP1,B,B1807,A,10:25,,,11
2019,9,16,월,ARP1,ARP2,B,B1807,D,9:30,,,19
2019,9,16,월,ARP2,ARP1,J,J1120,A,16:05,,,9
2019,9,16,월,ARP1,ARP2,J,J1120,D,15:00,,,31
2019,9,16,월,ARP2,ARP15,J,J1404,A,9:30,,,7
2019,9,16,월,ARP15,ARP2,J,J1404,D,8:25,,,4
2019,9,16,월,ARP1,ARP2,B,B1822,A,18:55,,,33
2019,9,16,월,ARP2,ARP1,B,B1822,D,18:00,,,12
2019,9,16,월,ARP15,ARP2,J,J1405,A,8:10,,,3
2019,9,16,월,ARP2,ARP15,J,J1405,D,7:05,,,7
2019,9,16,월,ARP1,ARP2,B,B1808,A,11:55,,,24
2019,9,16,월,ARP2,ARP1,B,B1808,D,11:00,,,10
2019,9,16,월,ARP2,ARP1,B,B1823,A,18:25,,,11
2019,9,16,월,ARP1,ARP2,B,B1823,D,17:30,,,22
2019,9,16,월,ARP1,ARP2,J,J1121,A,17:40,,,22
2019,9,16,월,ARP2,ARP1,J,J1121,D,16:40,,,9
2019,9,16,월,ARP2,ARP1,B,B1809,A,11:25,,,8
2019,9,16,월,ARP1,ARP2,B,B1809,D,10:30,,,23
2019,9,16,월,ARP1,ARP2,B,B1824,A,19:55,,,24
2019,9,16,월,ARP2,ARP1,B,B1824,D,19:00,,,9
2019,9,16,월,ARP1,ARP2,J,J1103,A,8:00,,,17
2019,9,16,월,ARP2,ARP1,J,J1103,D,7:00,,,5
2019,9,16,월,ARP2,ARP1,J,J1109,D,10:40,,,10
2019,9,16,월,ARP2,ARP1,J,J1122,A,17:05,,,11
2019,9,16,월,ARP1,ARP2,J,J1122,D,16:00,,,28
2019,9,16,월,ARP2,ARP15,J,J1406,A,19:30,,,12
2019,9,16,월,ARP15,ARP2,J,J1406,D,18:25,,,2
2019,9,16,월,ARP2,ARP1,B,B1811,A,12:25,,,10
2019,9,16,월,ARP1,ARP2,B,B1811,D,11:30,,,23
2019,9,16,월,ARP2,ARP1,B,B1825,A,19:25,,,10
2019,9,16,월,ARP1,ARP2,B,B1825,D,18:30,,,30
2019,9,16,월,ARP2,ARP1,J,J1104,A,8:05,,,10
2019,9,16,월,ARP1,ARP2,J,J1104,D,7:00,,,18
2019,9,16,월,ARP2,ARP1,J,J1110,A,11:05,,,10
2019,9,16,월,ARP1,ARP2,J,J1110,D,10:00,,,26
2019,9,16,월,ARP1,ARP2,J,J1123,A,18:40,,,27
2019,9,16,월,ARP2,ARP1,J,J1123,D,17:40,,,10
2019,9,16,월,ARP15,ARP2,J,J1407,A,11:55,,,1
2019,9,16,월,ARP2,ARP15,J,J1407,D,10:50,,,9
2019,9,16,월,ARP1,ARP2,B,B1812,A,13:55,,,24
2019,9,16,월,ARP2,ARP1,B,B1812,D,13:00,,,8
2019,9,16,월,ARP1,ARP2,H,H1207,A,20:25,,,19
2019,9,16,월,ARP2,ARP1,H,H1207,D,19:30,,,12
2019,9,16,월,ARP1,ARP2,J,J1105,A,9:40,,,20
2019,9,16,월,ARP2,ARP1,J,J1105,D,8:40,,,6
2019,9,16,월,ARP1,ARP2,J,J1111,A,12:40,,,20
2019,9,16,월,ARP2,ARP1,J,J1124,A,18:05,,,11
2019,9,16,월,ARP1,ARP2,J,J1124,D,17:00,,,20
2019,9,16,월,ARP2,ARP15,J,J1408,A,18:20,,,9
2019,9,16,월,ARP15,ARP2,J,J1408,D,17:15,,,2
2019,9,16,월,ARP1,ARP2,B,B1826,A,20:55,,,16
2019,9,16,월,ARP2,ARP1,B,B1826,D,20:00,,,13
2019,9,16,월,ARP2,ARP1,J,J1111,D,11:40,,,8
2019,9,16,월,ARP2,ARP15,A,A1531,A,20:20,,,11
2019,9,16,월,ARP15,ARP2,A,A1531,D,19:20,,,2
2019,9,16,월,ARP2,ARP1,B,B1813,A,13:25,,,7
2019,9,16,월,ARP1,ARP2,B,B1813,D,12:30,,,20
2019,9,16,월,ARP2,ARP1,B,B1827,A,20:25,,,12
2019,9,16,월,ARP1,ARP2,B,B1827,D,19:30,,,28
2019,9,16,월,ARP2,ARP1,H,H1208,A,21:05,,,12
2019,9,16,월,ARP1,ARP2,H,H1208,D,19:50,,,26
2019,9,16,월,ARP2,ARP1,J,J1106,A,9:05,,,6
2019,9,16,월,ARP1,ARP2,J,J1106,D,8:00,,,17
2019,9,16,월,ARP2,ARP1,J,J1112,A,12:05,,,10
2019,9,16,월,ARP1,ARP2,J,J1112,D,11:00,,,20
2019,9,16,월,ARP1,ARP2,J,J1125,A,19:40,,,26
2019,9,16,월,ARP2,ARP1,J,J1125,D,18:40,,,10
2019,9,16,월,ARP15,ARP2,J,J1409,A,14:35,,,1
2019,9,16,월,ARP2,ARP15,J,J1409,D,13:30,,,7
2019,9,16,월,ARP2,ARP15,J,J1410,A,20:40,,,10
2019,9,16,월,ARP15,ARP2,J,J1410,D,19:35,,,3
2019,9,16,월,ARP15,ARP2,A,A1532,A,8:00,,,1
2019,9,16,월,ARP2,ARP15,A,A1532,D,7:00,,,5
2019,9,16,월,ARP1,ARP2,B,B1814,A,14:55,,,29
2019,9,16,월,ARP2,ARP1,B,B1814,D,14:00,,,11
2019,9,16,월,ARP1,ARP2,B,B1828,A,21:55,,,18
2019,9,16,월,ARP2,ARP1,B,B1828,D,21:00,,,11
2019,9,16,월,ARP1,ARP2,J,J1107,A,10:40,,,23
2019,9,16,월,ARP2,ARP1,J,J1107,D,9:40,,,9
2019,9,16,월,ARP1,ARP2,J,J1113,A,13:40,,,24
2019,9,16,월,ARP2,ARP1,J,J1113,D,12:40,,,9
2019,9,16,월,ARP2,ARP1,J,J1126,A,19:05,,,9
2019,9,16,월,ARP1,ARP2,J,J1126,D,18:00,,,21
2019,9,16,월,ARP3,ARP6,A,A1235,A,18:20,,,33
2019,9,16,월,ARP6,ARP3,A,A1235,D,17:10,,,5
2019,9,16,월,ARP1,ARP3,A,A1914,A,10:30,,,23
2019,9,16,월,ARP3,ARP1,A,A1914,D,9:20,,,33
2019,9,16,월,ARP3,ARP1,A,A1941,A,12:25,,,27
2019,9,16,월,ARP1,ARP3,A,A1941,D,11:15,,,21
2019,9,16,월,ARP3,ARP1,A,A1963,A,16:15,,,27
2019,9,16,월,ARP1,ARP3,A,A1963,D,15:05,,,29
2019,9,16,월,ARP3,ARP1,A,A1991,A,20:35,,,37
2019,9,16,월,ARP1,ARP3,A,A1991,D,19:20,,,29
2019,9,16,월,ARP3,ARP2,B,B1111,A,14:20,,,28
2019,9,16,월,ARP2,ARP3,B,B1111,D,13:20,,,7
2019,9,16,월,ARP3,ARP2,B,B1173,A,18:05,,,36
2019,9,16,월,ARP2,ARP3,B,B1173,D,17:00,,,10
2019,9,16,월,ARP3,ARP5,B,B1307,A,17:10,,,36
2019,9,16,월,ARP5,ARP3,B,B1307,D,16:00,,,3
2019,9,16,월,ARP3,ARP1,F,F1213,A,13:00,,,33
2019,9,16,월,ARP1,ARP3,F,F1213,D,11:50,,,21
2019,9,16,월,ARP1,ARP3,F,F1226,A,19:35,,,26
2019,9,16,월,ARP3,ARP1,F,F1226,D,18:25,,,32
2019,9,16,월,ARP3,ARP6,F,F1701,A,8:50,,,41
2019,9,16,월,ARP6,ARP3,F,F1701,D,7:50,,,3
2019,9,16,월,ARP1,ARP3,H,H1124,A,19:00,,,34
2019,9,16,월,ARP3,ARP1,H,H1124,D,17:50,,,37
2019,9,16,월,ARP3,ARP1,H,H1145,A,17:55,,,34
2019,9,16,월,ARP1,ARP3,H,H1145,D,16:55,,,22
2019,9,16,월,ARP1,ARP3,H,H1146,A,19:50,,,26
2019,9,16,월,ARP3,ARP1,H,H1146,D,18:40,,,34
2019,9,16,월,ARP3,ARP2,H,H1509,A,13:20,,,32
2019,9,16,월,ARP2,ARP3,H,H1509,D,12:20,,,9
2019,9,16,월,ARP3,ARP4,H,H1705,A,17:15,,,36
2019,9,16,월,ARP4,ARP3,H,H1705,D,16:05,,,3
2019,9,16,월,ARP1,ARP3,I,I1318,A,14:20,,,25
2019,9,16,월,ARP3,ARP1,I,I1318,D,13:05,,,35
2019,9,16,월,ARP3,ARP2,I,I1563,A,13:05,,,35
2019,9,16,월,ARP2,ARP3,I,I1563,D,12:05,,,10
2019,9,16,월,ARP3,ARP8,I,I1593,A,12:05,,,33
2019,9,16,월,ARP8,ARP3,I,I1593,D,11:15,,,5
2019,9,16,월,ARP2,ARP3,J,J1019,A,21:45,,,7
2019,9,16,월,ARP3,ARP2,J,J1019,D,20:45,,,35
2019,9,16,월,ARP1,ARP3,J,J1215,A,11:45,,,20
2019,9,16,월,ARP3,ARP1,J,J1215,D,10:35,,,31
2019,9,16,월,ARP3,ARP1,J,J1216,A,11:15,,,29
2019,9,16,월,ARP1,ARP3,J,J1216,D,10:05,,,24
2019,9,16,월,ARP3,ARP1,J,J1250,A,17:50,,,37
2019,9,16,월,ARP1,ARP3,J,J1250,D,16:40,,,24
2019,9,16,월,ARP6,ARP3,A,A1236,A,21:45,,,1
2019,9,16,월,ARP3,ARP1,A,A1915,A,9:05,,,33
2019,9,16,월,ARP1,ARP3,A,A1915,D,7:55,,,15
2019,9,16,월,ARP1,ARP3,B,B1024,A,21:20,,,20
2019,9,16,월,ARP3,ARP1,B,B1024,D,20:00,,,34
2019,9,16,월,ARP2,ARP3,B,B1182,A,14:25,,,10
2019,9,16,월,ARP3,ARP2,B,B1182,D,13:25,,,32
2019,9,16,월,ARP1,ARP3,F,F1214,A,14:05,,,27
2019,9,16,월,ARP3,ARP1,F,F1214,D,13:00,,,33
2019,9,16,월,ARP3,ARP1,F,F1227,A,19:20,,,29
2019,9,16,월,ARP1,ARP3,F,F1227,D,18:10,,,25
2019,9,16,월,ARP6,ARP3,F,F1702,A,9:00,,,2
2019,9,16,월,ARP3,ARP6,F,F1702,D,8:00,,,29
2019,9,16,월,ARP1,ARP3,H,H1108,A,12:00,,,23
2019,9,16,월,ARP3,ARP1,H,H1108,D,10:50,,,29
2019,9,16,월,ARP3,ARP1,H,H1125,A,17:15,,,36
2019,9,16,월,ARP1,ARP3,H,H1125,D,16:05,,,24
2019,9,16,월,ARP2,ARP3,H,H1510,A,16:35,,,8
2019,9,16,월,ARP3,ARP2,H,H1510,D,15:30,,,32
2019,9,16,월,ARP3,ARP1,I,I1319,A,14:50,,,28
2019,9,16,월,ARP1,ARP3,I,I1319,D,13:35,,,24
2019,9,16,월,ARP1,ARP3,I,I1338,A,22:20,,,20
2019,9,16,월,ARP3,ARP1,I,I1338,D,21:10,,,37
2019,9,16,월,ARP8,ARP3,I,I1594,A,19:55,,,3
2019,9,16,월,ARP3,ARP8,I,I1594,D,19:05,,,32
2019,9,16,월,ARP3,ARP2,J,J1020,A,20:10,,,31
2019,9,16,월,ARP2,ARP3,J,J1020,D,19:10,,,9
2019,9,16,월,ARP1,ARP3,J,J1233,A,15:40,,,29
2019,9,16,월,ARP3,ARP1,J,J1233,D,14:30,,,33
2019,9,16,월,ARP3,ARP1,J,J1268,A,22:10,,,15
2019,9,16,월,ARP1,ARP3,J,J1268,D,21:00,,,20
2019,9,16,월,ARP4,ARP3,J,J1803,A,8:05,,,3
2019,9,16,월,ARP3,ARP4,J,J1803,D,7:00,,,4
2019,9,16,월,ARP3,ARP6,A,A1236,D,20:35,,,37
2019,9,16,월,ARP1,ARP3,A,A1916,A,11:00,,,20
2019,9,16,월,ARP3,ARP1,A,A1916,D,9:50,,,30
2019,9,16,월,ARP3,ARP1,A,A1943,A,13:05,,,35
2019,9,16,월,ARP1,ARP3,A,A1943,D,11:50,,,21
2019,9,16,월,ARP1,ARP3,A,A1964,A,18:30,,,30
2019,9,16,월,ARP3,ARP1,A,A1964,D,17:20,,,39
